MEM,func,k,AAE,ARE,_sum,throughput,,MEM,func,k,AAE,ARE,_sum,throughput
,,,,,,,,100,CuckooSketchPro,400,0.3925,0.000647424,400/400,22.5953
,,,,,,,,100,heavykeeper,400,1.265,0.00293231,400/400,13.1843
,,,,,,,,100,LossyCounting,400,24.4875,0.0930527,374/400,10.9638
,,,,,,,,100,spacesaving,400,120.18,0.803004,306/400,17.3382
,,,,,,,,100,CuckooCounter,500,0.324,0.000846663,500/500,13.8385
,,,,,,,,100,CuckooSketch,500,1.668,0.00352826,500/500,19.4594
,,,,,,,,100,CuckooSketchPro,500,0.386,0.000781504,500/500,22.7061
,,,,,,,,100,heavykeeper,500,1.608,0.00422797,500/500,12.8462
,,,,,,,,100,LossyCounting,500,39.53,0.514745,438/500,10.8991
,,,,,,,,100,spacesaving,500,151.25,1.63489,359/500,17.4307
,,,,,,,,100,CuckooCounter,600,1.105,0.00203277,600/600,13.8118
,,,,,,,,100,CuckooSketch,600,1.66833,0.00388593,600/600,19.5733
,,,,,,,,100,CuckooSketchPro,600,0.388333,0.000945387,600/600,22.6593
,,,,,,,,100,heavykeeper,600,1.965,0.00614828,598/600,12.648
,,,,,,,,100,LossyCounting,600,74.6433,32.4809,455/600,10.9163
,,,,,,,,100,spacesaving,600,175.642,2.54569,412/600,17.4189
,,,,,,,,100,CuckooCounter,700,0.6,0.00366188,696/700,13.6467
,,,,,,,,100,CuckooSketch,700,1.92714,0.0045778,700/700,19.5944
,,,,,,,,100,CuckooSketchPro,700,0.382857,0.00105916,700/700,22.7438
,,,,,,,,100,heavykeeper,700,2.77286,0.0109692,697/700,12.3713
,,,,,,,,100,LossyCounting,700,103.406,66.8736,463/700,10.937
,,,,,,,,100,spacesaving,700,200.354,3.8235,454/700,17.356
,,,,,,,,100,CuckooCounter,800,0.97,0.00517982,794/800,13.028
,,,,,,,,100,CuckooSketch,800,2.1125,0.00563639,800/800,18.9595
,,,,,,,,100,CuckooSketchPro,800,0.37375,0.00115783,800/800,21.7207
,,,,,,,,100,heavykeeper,800,3.92375,0.0128077,785/800,11.8714
,,,,,,,,100,LossyCounting,800,123.344,88.5061,471/800,10.6034
,,,,,,,,100,spacesaving,800,219.029,5.67945,494/800,16.7647
,,,,,,,,100,CuckooCounter,900,1.28667,0.0195557,896/900,13.4043
,,,,,,,,100,CuckooSketch,900,2.24,0.00585708,900/900,19.5069
