MEM,func,k,AAE,ARE,_sum,throughput
50,spacesaving,100,806.28,462.145,29/100,19.233,
50,CuckooCounter,200,0.625,0.00371664,176/200,20.7014,
50,CuckooSketch,200,1.425,0.00508603,181/200,21.4037,
50,CuckooSketchPro,200,0.09,0.000356631,184/200,27.5604,
50,heavykeeper,200,10.935,0.0500384,171/200,16.9771,
50,LossyCounting,200,506.535,454.918,17/200,1.95499,
50,spacesaving,200,884.305,630.36,35/200,19.2267,
50,CuckooCounter,300,3.76,1.92905,291/300,20.2032,
50,CuckooSketch,300,0.95,0.00339069,296/300,21.3607,
50,CuckooSketchPro,300,0.06,0.000237754,296/300,27.8025,
50,heavykeeper,300,45.7867,0.275659,266/300,16.6683,
50,LossyCounting,300,522.023,487.612,17/300,1.93559,
50,spacesaving,300,912.853,735.482,35/300,19.2359,
50,CuckooCounter,400,1.7475,0.0148639,396/400,19.9569,
50,CuckooSketch,400,1.59,0.0148099,400/400,21.4032,
50,CuckooSketchPro,400,0.535,0.00832886,394/400,27.8621,
50,heavykeeper,400,76.44,0.809517,359/400,16.5675,
50,LossyCounting,400,529.768,503.959,17/400,1.95571,
50,spacesaving,400,925.487,762.185,40/400,19.1121,
50,CuckooCounter,500,2.792,0.80701,441/500,19.8973,
50,CuckooSketch,500,1.654,0.149274,447/500,21.4422,
50,CuckooSketchPro,500,0.632,0.0286354,440/500,27.8552,
50,heavykeeper,500,77.768,0.709877,376/500,16.5884,
50,LossyCounting,500,534.414,513.767,17/500,1.96749,
50,spacesaving,500,929.21,744.288,53/500,19.1799,
50,CuckooCounter,600,3.87833,1.62293,435/600,19.7973,
50,CuckooSketch,600,1.79,0.3622,479/600,21.4238,
50,CuckooSketchPro,600,0.686667,0.0822755,477/600,27.7331,
50,heavykeeper,600,87.655,0.945237,380/600,16.665,
50,LossyCounting,600,537.512,520.306,17/600,1.95967,
50,spacesaving,600,932.918,729.909,61/600,19.2478,
50,CuckooCounter,700,6.93429,2.789,420/700,19.7816,
50,CuckooSketch,700,1.97714,inf,505/700,21.3789,
50,CuckooSketchPro,700,0.762857,0.171355,512/700,27.787,
50,heavykeeper,700,74.6429,0.738292,349/700,16.7034,
50,LossyCounting,700,539.724,524.977,17/700,1.94176,
50,spacesaving,700,937.681,741.717,62/700,19.0089,
50,CuckooCounter,800,12.1188,4.574,384/800,19.844,
50,CuckooSketch,800,2.12,inf,523/800,21.4703,
50,CuckooSketchPro,800,0.8525,0.228686,523/800,27.72,
50,heavykeeper,800,50.4438,0.691569,247/800,16.5344,
50,LossyCounting,800,541.384,528.48,17/800,1.94766,
50,spacesaving,800,941.668,744.562,62/800,19.2304,
50,CuckooCounter,900,19.0878,14.401,138/900,19.8629,
50,CuckooSketch,900,2.18667,inf,532/900,20.869,
50,CuckooSketchPro,900,0.886667,inf,529/900,27.7523,
50,heavykeeper,900,10.4878,0.22102,49/900,12.0068,
50,LossyCounting,900,542.674,531.204,17/900,1.8602,
50,spacesaving,900,938.692,737.828,79/900,19.1571,
60,CuckooCounter,100,0.59,0.00235406,91/100,21.297,
60,CuckooSketch,100,0.03,0.000121951,96/100,21.3074,
60,CuckooSketchPro,100,0.03,8.67411e-05,96/100,27.2554,
60,heavykeeper,100,3.53,0.0119069,84/100,17.1748,
60,LossyCounting,100,355.82,274.296,23/100,1.97928,
60,spacesaving,100,638.35,432.201,31/100,18.7445,
60,CuckooCounter,200,0.605,0.00353004,180/200,20.6761,
60,CuckooSketch,200,0.135,0.000664092,185/200,21.058,
60,CuckooSketchPro,200,0.115,0.000493097,181/200,27.4755,
60,heavykeeper,200,7.315,0.0327996,169/200,16.948,
60,LossyCounting,200,408.41,367.648,23/200,1.99473,
60,spacesaving,200,719.355,553.407,37/200,18.7536,
60,CuckooCounter,300,2.17333,1.27979,295/300,20.0872,
60,CuckooSketch,300,0.09,0.000442728,297/300,21.3174,
60,CuckooSketchPro,300,0.0766667,0.000328731,297/300,27.4831,
60,heavykeeper,300,16.44,0.091266,293/300,16.7546,
60,LossyCounting,300,425.94,398.765,23/300,1.95479,
60,spacesaving,300,748.89,632.878,37/300,18.6651,
60,CuckooCounter,400,0.555,0.00719276,399/400,19.7215,
60,CuckooSketch,400,0.455,0.00711653,392/400,21.2666,
60,CuckooSketchPro,400,0.575,0.00902377,399/400,27.1451,
60,heavykeeper,400,36.125,0.364965,370/400,16.3886,
60,LossyCounting,400,434.705,414.324,23/400,2.01695,
60,spacesaving,400,761.987,638.935,43/400,18.9068,
60,CuckooCounter,500,1.348,0.370712,444/500,19.5213,
60,CuckooSketch,500,0.78,0.0938341,437/500,21.1681,
60,CuckooSketchPro,500,0.728,0.0481672,449/500,27.1857,
60,heavykeeper,500,48.982,0.573016,383/500,16.506,
60,LossyCounting,500,439.964,423.659,23/500,1.94322,
60,spacesaving,500,764.224,601.806,57/500,18.874,
60,CuckooCounter,600,2.465,1.24953,456/600,19.4443,
60,CuckooSketch,600,1.045,0.308128,474/600,21.2694,
60,CuckooSketchPro,600,0.751667,0.0838344,487/600,27.468,
60,heavykeeper,600,52.6617,0.759599,400/600,16.376,
